Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,14,,
Data,0,file_id,type,"4",,time_created,"1061096853",,manufacturer,"23",,product,"42",,product_name,"Suunto 9 Peak",,
Definition,0,developer_data_id,developer_data_index,1,,application_id,16,,,,,,,,,,,
Data,0,developer_data_id,developer_data_index,"0",,application_id,"83|117|117|110|116|111|70|105|116|69|120|112|111|114|116|49",,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,field_name,14,,units,2,,scale,1,,fit_base_type_id,1,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"2",,field_name,"recovery_time",,units,"s",,scale,"1",,fit_base_type_id,"134",,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,field_name,10,,units,5,,scale,1,,fit_base_type_id,1,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"4",,field_name,"peak_epoc",,units,"l/kg",,scale,"10",,fit_base_type_id,"132",,
Definition,1,record,timestamp,1,,distance,1,,heart_rate,1,,altitude,1,,cadence,1,,speed,1,,temperature,1,,vertical_speed,1,,
Definition,2,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,heart_rate,1,,altitude,1,,cadence,1,,speed,1,,temperature,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,distance,1,,altitude,1,,cadence,1,,speed,1,,temperature,1,,vertical_speed,1,,,,,,,,,,,
Definition,4,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,cadence,1,,speed,1,,temperature,1,,vertical_speed,1,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,record,timestamp,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,record,timestamp,1,,position_lat,1,,position_long,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Definition,8,lap,timestamp,1,,start_time,1,,total_elapsed_time,1,,event,1,,event_type,1,,lap_trigger,1,,total_timer_time,1,,min_altitude,1,,avg_altitude,1,,max_altitude,1,,total_descent,1,,avg_cadence,1,,max_cadence,1,,total_distance,1,,min_heart_rate,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_speed,1,,max_speed,1,,avg_temperature,1,,max_temperature,1,,total_calories,1,,
Definition,9,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,10,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,first_lap_index,1,,num_laps,1,,min_heart_rate,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_speed,1,,max_speed,1,,total_calories,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,total_ascent,1,,total_descent,1,,max_altitude,1,,min_altitude,1,,training_stress_score,1,,total_cycles,1,,avg_temperature,1,,max_temperature,1,,avg_cadence,1,,max_cadence,1,,total_training_effect,1,,time_in_hr_zone,5,,recovery_time,1,,peak_epoc,1,,
Data,9,event,event,"0",,timestamp,"1061085926",s,event_type,"0",,timer_trigger,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,record,timestamp,1,,distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1061085926",s,distance,"0.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,"1061085933",s,position_lat,"433064798",semicircles,position_long,"1671884549",semicircles,heart_rate,"71",bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085934",s,distance,"82.0",m,heart_rate,"72",bpm,altitude,"411.79999999999995",m,cadence,"58",rpm,speed,"0.5",m/s,temperature,"31",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061085935",s,position_lat,"433064378",semicircles,position_long,"1671884854",semicircles,distance,"86.0",m,heart_rate,"74",bpm,altitude,"411.6",m,cadence,"58",rpm,speed,"0.5",m/s,temperature,"31",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061085936",s,position_lat,"433064263",semicircles,position_long,"1671885312",semicircles,distance,"86.0",m,heart_rate,"75",bpm,altitude,"411.6",m,cadence,"48",rpm,speed,"0.5",m/s,temperature,"31",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085937",s,distance,"89.0",m,heart_rate,"75",bpm,altitude,"411.4",m,cadence,"58",rpm,speed,"0.5",m/s,temperature,"31",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061085938",s,position_lat,"433064072",semicircles,position_long,"1671884854",semicircles,distance,"89.0",m,heart_rate,"77",bpm,altitude,"411.4",m,cadence,"58",rpm,speed,"0.48",m/s,temperature,"31",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.48",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085939",s,distance,"89.0",m,heart_rate,"77",bpm,altitude,"411.4",m,cadence,"58",rpm,speed,"0.48",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.48",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061085940",s,position_lat,"433063919",semicircles,position_long,"1671884549",semicircles,distance,"89.0",m,heart_rate,"76",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.34",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.34",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
